Frequency (Hz),Channel 1 Magnitude (dB)
500.0000000000003,-0.08542779973892216
506.9797398950148,-0.08714651959480527
514.0569133280336,-0.08840329470291862
521.2328804205609,-0.09014483138202925
528.5090202806903,-0.09059072286979358
535.8867312681467,-0.09303628077680731
543.3674312630294,-0.09380554888754558
550.9525579383056,-0.09329589213550488
558.6435690361102,-0.09611646469132523
566.4419426478996,-0.1002719188123868
574.3491774985177,-0.1001096494494389
582.3667932342282,-0.1008105146851533
590.4963307147653,-0.1026018145764504
598.7393523094647,-0.1045896711678268
607.0974421975237,-0.1059485598341573
615.5722066724584,-0.1071494984161964
624.1652744508064,-0.1088735985415702
632.8782969851402,-0.1105909198914857
641.7129487814523,-0.1145913590445908
650.6709277209671,-0.1135668730398051
659.7539553864474,-0.1154507600538931
668.9637773930563,-0.1178847022635471
678.3021637238363,-0.1196815187614256
687.7709090698722,-0.1212963906748733
697.3718331752031,-0.1242318495673445
707.1067811865478,-0.1259387895473423
716.977624007914,-0.1266341169660424
726.9862586601555,-0.1294676873222011
737.1346086455509,-0.1327768057987002
747.4246243174695,-0.1349513882981057
757.8582832551994,-0.1375609302300032
768.4375906440065,-0.1383821918722505
779.1645796605002,-0.1408454665817179
790.0413118633774,-0.143116588768086
801.0698775896225,-0.1451657838188746
812.2523963562359,-0.1485108456429024
823.5910172675733,-0.1508587249865811
835.0879194283698,-0.1532762240529107
846.7453123625277,-0.1574569257579823
858.5654364377541,-0.1586631526342265
870.5505632961244,-0.1616282000638193
882.7029962906552,-0.1640576276961893
895.0250709279728,-0.1673836125926043
907.519155317161,-0.1694790020548385
920.1876506248755,-0.1740800157470103
933.0329915368078,-0.1765517310794186
946.0576467255961,-0.1797291059449766
959.2641193252647,-0.1849252876944231
972.6549474122861,-0.1872523988178441
986.2327044933595,-0.1907132598945203
1000,-0.1946452817999681
1013.95947979003,-0.1973666528855996
1028.113826656067,-0.2018011580662483
1042.465760841121,-0.2067502101648501
1057.018040561381,-0.2109911134388168
1071.773462536294,-0.2156046380310837
1086.734862526058,-0.2208297281222129
1101.905115876611,-0.2253911950258829
1117.287138072221,-0.2315044692286004
1132.883885295799,-0.235944504638651
1148.698354997035,-0.2417970529299181
1164.733586468456,-0.2504225944812482
1180.992661429531,-0.2553567724097763
1197.478704618929,-0.2611215238662486
1214.194884395047,-0.2679911644500763
1231.144413344917,-0.2759325010832024
1248.330548901612,-0.2845077738232487
1265.75659397028,-0.2933725731968
1283.425897562905,-0.3011792097240979
1301.341855441934,-0.3111409103702135
1319.507910772895,-0.32140246387808
1337.927554786113,-0.3318051138771393
1356.604327447672,-0.3432490838984802
1375.541818139744,-0.3562080533097028
1394.743666350406,-0.3689068570076642
1414.213562373096,-0.3814189708713233
1433.955248015828,-0.3980103482450972
1453.972517320311,-0.4146469939720806
1474.269217291102,-0.4317851261581095
1494.849248634939,-0.4510708036327829
1515.716566510399,-0.4713203822074521
1536.875181288013,-0.492921363529404
1558.329159321,-0.516302645036387
1580.082623726755,-0.5441616138382858
1602.139755179245,-0.5700862751504486
1624.504792712471,-0.5991112582915177
1647.182034535147,-0.6325712142902563
1670.175838856739,-0.6661788273345103
1693.490624725055,-0.7059368512952845
1717.130872875508,-0.7469343271557807
1741.101126592249,-0.7900990254504854
1765.40599258131,-0.8390043648540074
1790.050141855945,-0.8915868482182012
1815.038310634322,-0.9482292617686939
1840.375301249751,-1.009720831859609
1866.065983073615,-1.078004841364483
1892.115293451192,-1.147258555069089
1918.528238650529,-1.224558950634931
1945.309894824572,-1.308018764135959
1972.465408986719,-1.39683437710594
2000,-1.49382135976734
2027.918959580059,-1.598852144150235
2056.227653312134,-1.710312184023682
2084.931521682243,-1.828943367507414
2114.036081122762,-1.958907652649518
2143.546925072586,-2.095899820759245
2173.469725052117,-2.245645316762086
2203.810231753222,-2.399467668718348
2234.57427614444,-2.565511936900792
2265.767770591598,-2.74159863072057
2297.39670999407,-2.928596152659719
2329.467172936912,-3.126528599782221
2361.985322859061,-3.333177586807597
2394.957409237858,-3.553174843190682
2428.389768790094,-3.781829888135002
2462.288826689834,-4.021950680082329
2496.661097803224,-4.272926866048908
2531.513187940561,-4.53509177254035
2566.851795125809,-4.809025064632261
2602.683710883868,-5.089923457654062
2639.015821545789,-5.384756511363099
2675.855109572224,-5.686305668054159
2713.208654895344,-6.000072228899471
2751.083636279488,-6.32106171465729
2789.487332700811,-6.65140895670138
2828.427124746191,-6.990491290318932
2867.910496031655,-7.337391304497611
2907.945034640622,-7.694100292239855
2948.538434582204,-8.055752186092013
2989.698497269877,-8.426090861253465
3031.433133020797,-8.802562217352875
3073.750362576025,-9.185965497046118
3116.658318642,-9.573123425542335
3160.165247453509,-9.969006448698497
3204.279510358489,-10.37013380442376
3249.009585424943,-10.77148095456057
3294.364069070293,-11.18331651415849
3340.351677713478,-11.59670359824934
3386.981249450109,-12.01558314125573
3434.261745751015,-12.43656226854121
3482.202253184497,-12.86173054949925
3530.811985162619,-13.29124696980451
3580.10028371189,-13.71842388042659
3630.076621268644,-14.15004808008757
3680.7506024995,-14.59413739358905
3732.13196614723,-15.03468461561715
3784.230586902384,-15.47242110514399
3837.056477301058,-15.91894397821161
3890.619789649143,-16.36296682415569
3944.930817973437,-16.81222185502735
4000,-17.26052542959589
